nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS120x120x12.5,40.9,0.12,0.12,0.0125,,,0.00521,9.820000000000001e-06,9.820000000000001e-06,0.0434,0.0434,0.000164,0.000164,0.000207,0.000207,1.623e-05,,False,20100728,CAT EN-SHS SHS120x120x12.5 20100728
SHS160x160x8.8,41.1,0.16,0.16,0.0088,,,0.00524,1.978e-05,1.978e-05,0.0614,0.0614,0.000247,0.000247,0.000295,0.000295,3.125e-05,,,20110705,CAT EN-SHS SHS160x160x8.8 20110705
SHS220x220x6.3,41.9,0.22,0.22,0.0063,,,0.00534,4.049e-05,4.049e-05,0.0871,0.0871,0.000368,0.000368,0.000427,0.000427,6.24e-05,,False,20100728,CAT EN-SHS SHS220x220x6.3 20100728
SHS200x200x7.1,42.6,0.2,0.2,0.0071,,,0.00542,3.345e-05,3.345e-05,0.0785,0.0785,0.000335,0.000335,0.000391,0.000391,5.189e-05,,,20110705,CAT EN-SHS SHS200x200x7.1 20110705
SHS180x180x8,42.7,0.18,0.18,0.008,,,0.00544,2.661e-05,2.661e-05,0.07,0.07,0.000296,0.000296,0.000349,0.000349,4.162e-05,,,20110705,CAT EN-SHS SHS180x180x8 20110705
SHS150x150x10,43.1,0.15,0.15,0.01,,,0.00549,1.773e-05,1.773e-05,0.0568,0.0568,0.000236,0.000236,0.000286,0.000286,2.832e-05,,,20110705,CAT EN-SHS SHS150x150x10 20110705
SHS160x160x10,46.3,0.16,0.16,0.01,,,0.00589,2.186e-05,2.186e-05,0.0609,0.0609,0.000273,0.000273,0.000329,0.000329,3.478e-05,,,20110705,CAT EN-SHS SHS160x160x10 20110705
SHS180x180x8.8,46.7,0.18,0.18,0.0088,,,0.00594,2.88e-05,2.88e-05,0.0696,0.0696,0.00032,0.00032,0.000379,0.000379,4.524e-05,,,20110705,CAT EN-SHS SHS180x180x8.8 20110705
SHS200x200x8,47.7,0.2,0.2,0.008,,,0.00608,3.709e-05,3.709e-05,0.0781,0.0781,0.000371,0.000371,0.000436,0.000436,5.778e-05,,,20110705,CAT EN-SHS SHS200x200x8 20110705
SHS250x250x6.3,47.9,0.25,0.25,0.0063,,,0.0061,6.014e-05,6.014e-05,0.0993,0.0993,0.000481,0.000481,0.000556,0.000556,9.238e-05,,False,20100728,CAT EN-SHS SHS250x250x6.3 20100728
SHS140x140x12.5,48.7,0.14,0.14,0.0125,,,0.00621,1.653e-05,1.653e-05,0.0516,0.0516,0.000236,0.000236,0.000293,0.000293,2.696e-05,,False,20100728,CAT EN-SHS SHS140x140x12.5 20100728
SHS260x260x6.3,49.9,0.26,0.26,0.0063,,,0.00635,6.788e-05,6.788e-05,0.103,0.103,0.000522,0.000522,0.000603,0.000603,0.0001042,,False,20100728,CAT EN-SHS SHS260x260x6.3 20100728
SHS200x200x8.8,52.2,0.2,0.2,0.0088,,,0.00665,4.021e-05,4.021e-05,0.0778,0.0778,0.000402,0.000402,0.000474,0.000474,6.288e-05,,,20110705,CAT EN-SHS SHS200x200x8.8 20110705
SHS180x180x10,52.5,0.18,0.18,0.01,,,0.00669,3.193e-05,3.193e-05,0.0691,0.0691,0.000355,0.000355,0.000424,0.000424,5.048e-05,,,20110705,CAT EN-SHS SHS180x180x10 20110705
SHS150x150x12.5,52.7,0.15,0.15,0.0125,,,0.00671,2.08e-05,2.08e-05,0.0557,0.0557,0.000277,0.000277,0.000342,0.000342,3.375e-05,,False,20100728,CAT EN-SHS SHS150x150x12.5 20100728
SHS220x220x8.0,52.7,0.22,0.22,0.008,,,0.00672,5.002e-05,5.002e-05,0.0863,0.0863,0.000455,0.000455,0.000532,0.000532,7.765e-05,,False,20100728,CAT EN-SHS SHS220x220x8.0 20100728
SHS250x250x7.1,53.7,0.25,0.25,0.0071,,,0.00684,6.701e-05,6.701e-05,0.099,0.099,0.000536,0.000536,0.000622,0.000622,0.00010325,,,20110705,CAT EN-SHS SHS250x250x7.1 20110705
SHS260x260x7.1,56.0,0.26,0.26,0.0071,,,0.00713,7.567e-05,7.567e-05,0.103,0.103,0.000582,0.000582,0.000674,0.000674,0.00011647,,,20110705,CAT EN-SHS SHS260x260x7.1 20110705
SHS160x160x12.5,56.6,0.16,0.16,0.0125,,,0.00721,2.576e-05,2.576e-05,0.0598,0.0598,0.000322,0.000322,0.000395,0.000395,4.158e-05,,False,20100728,CAT EN-SHS SHS160x160x12.5 20100728
SHS300x300x6.3,57.8,0.3,0.3,0.0063,,,0.0074,0.0001055,0.0001055,0.12,0.12,0.000703,0.000703,0.000809,0.000809,0.0001614,,False,20100728,CAT EN-SHS SHS300x300x6.3 20100728
SHS200x200x10,58.8,0.2,0.2,0.01,,,0.00749,4.471e-05,4.471e-05,0.0772,0.0772,0.000447,0.000447,0.000531,0.000531,7.031e-05,,,20110705,CAT EN-SHS SHS200x200x10 20110705
SHS150x150x14.2,58.9,0.15,0.15,0.0142,,,0.0075,2.262e-05,2.262e-05,0.0549,0.0549,0.000302,0.000302,0.000377,0.000377,3.707e-05,,False,20100728,CAT EN-SHS SHS150x150x14.2 20100728
SHS250x250x8,60.3,0.25,0.25,0.008,,,0.00768,7.455e-05,7.455e-05,0.0986,0.0986,0.000596,0.000596,0.000694,0.000694,0.00011525,,,20110705,CAT EN-SHS SHS250x250x8 20110705
