nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
HE220A,50.5,0.21,0.22,0.007,0.011,0.00643,5.41e-05,0.0005152,0.0005685,0.0917,1.955e-05,0.0001777,0.0002706,0.0551,2.86e-07,0.018000000000000002,CAT HE-AM HE220A 20170912
HE220B,71.5,0.22,0.22,0.0095,0.016,0.0091,8.091e-05,0.0007355,0.000827,0.0943,2.843e-05,0.0002585,0.00039390000000000003,0.0559,7.700000000000001e-07,0.018000000000000002,CAT HE-AM HE220B 20170912
HE220C,94.1,0.23,0.223,0.0125,0.021,0.011989999999999999,0.0001118,0.0009722000000000001,0.001114,0.0965,3.888e-05,0.0003487,0.0005324,0.0569,1.68e-06,0.018000000000000002,CAT HE-AM HE220C 20170912
HE220M,117,0.24,0.226,0.0155,0.026000000000000002,0.01494,0.000146,0.001217,0.0014190000000000001,0.0989,5.012e-05,0.00044350000000000005,0.0006786,0.0579,3.1309999999999998e-06,0.018000000000000002,CAT HE-AM HE220M 20170912
HE240AA,47.4,0.224,0.24,0.006500000000000001,0.009000000000000001,0.006039999999999999,5.835e-05,0.000521,0.0005706,0.0983,2.077e-05,0.0001731,0.00026440000000000003,0.0587,2.22e-07,0.021,CAT HE-AM HE240AA 20170912
HE240A,60.3,0.23,0.24,0.0075,0.012,0.007679999999999999,7.763e-05,0.0006751000000000001,0.0007446,0.1005,2.769e-05,0.00023070000000000002,0.00035170000000000004,0.06,4.2099999999999997e-07,0.021,CAT HE-AM HE240A 20170912
HE240B,83.2,0.24,0.24,0.01,0.017,0.0106,0.0001126,0.0009383000000000001,0.0010530000000000001,0.1031,3.923e-05,0.00032690000000000003,0.0004984000000000001,0.0608,1.04e-06,0.021,CAT HE-AM HE240B 20170912
HE240C,119,0.255,0.244,0.014,0.0245,0.01522,0.00017329999999999998,0.0013590000000000002,0.001564,0.1067,5.942e-05,0.0004871,0.0007438000000000001,0.0625,2.89e-06,0.021,CAT HE-AM HE240C 20170912
HE240M,157,0.27,0.248,0.018000000000000002,0.032,0.01996,0.0002429,0.001799,0.002117,0.1103,8.153e-05,0.0006575,0.0010060000000000002,0.0639,6.26e-06,0.021,CAT HE-AM HE240M 20170912
HE260AA,54.1,0.244,0.26,0.006500000000000001,0.0095,0.0069,7.981e-05,0.0006541,0.0007145000000000001,0.1076,2.788e-05,0.0002145,0.0003277,0.0636,3.01e-07,0.024,CAT HE-AM HE260AA 20170912
