nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
RHS100x50x3.2,7.13,0.1,0.05,0.0032,,0.000908,1.16e-06,2.32e-05,2.89e-05,0.0357,3.88e-07,1.55e-05,1.77e-05,0.0207,9.34e-07,,CAT EN-RHS RHS100x50x3.2 20100728
RHS100x60x3,7.18,0.1,0.06,0.003,,0.000914,1.24e-06,2.47e-05,3.0200000000000002e-05,0.0368,5.57e-07,1.86e-05,2.12e-05,0.0247,1.21e-06,,CAT EN-RHS RHS100x60x3 20110705
RHS100x60x3.2,7.63,0.1,0.06,0.0032,,0.000972,1.31e-06,2.6200000000000003e-05,3.2000000000000005e-05,0.0367,5.88e-07,1.9600000000000002e-05,2.2400000000000002e-05,0.0246,1.29e-06,,CAT EN-RHS RHS100x60x3.2 20100728
RHS100x50x3.6,7.96,0.1,0.05,0.0036000000000000003,,0.00101,1.28e-06,2.5600000000000002e-05,3.21e-05,0.035500000000000004,4.26e-07,1.7e-05,1.9600000000000002e-05,0.0205,1.0299999999999999e-06,,CAT EN-RHS RHS100x50x3.6 20110705
RHS100x60x3.6,8.53,0.1,0.06,0.0036000000000000003,,0.00109,1.4499999999999999e-06,2.89e-05,3.5600000000000005e-05,0.0365,6.48e-07,2.16e-05,2.4900000000000002e-05,0.024399999999999998,1.42e-06,,CAT EN-RHS RHS100x60x3.6 20110705
RHS100x50x4,8.78,0.1,0.05,0.004,,0.00112,1.4e-06,2.79e-05,3.52e-05,0.0353,4.62e-07,1.8500000000000002e-05,2.15e-05,0.020300000000000002,1.13e-06,,CAT EN-RHS RHS100x50x4 20110705
RHS100x60x4,9.41,0.1,0.06,0.004,,0.0012,1.58e-06,3.16e-05,3.91e-05,0.0363,7.05e-07,2.3500000000000002e-05,2.7300000000000003e-05,0.024300000000000002,1.5599999999999999e-06,,CAT EN-RHS RHS100x60x4 20110705
RHS100x50x5,10.8,0.1,0.05,0.005,,0.00137,1.6699999999999999e-06,3.33e-05,4.2600000000000005e-05,0.0348,5.43e-07,2.1700000000000002e-05,2.58e-05,0.019899999999999998,1.35e-06,,CAT EN-RHS RHS100x50x5 20110705
SHS100x100x3.6,10.8,0.1,0.1,0.0036000000000000003,,0.00137,2.12e-06,4.2300000000000005e-05,4.9500000000000004e-05,0.039200000000000006,2.12e-06,4.2300000000000005e-05,4.9500000000000004e-05,0.039200000000000006,3.28e-06,,CAT EN-SHS SHS100x100x3.6 20110705
RHS100x60x5,11.6,0.1,0.06,0.005,,0.00147,1.89e-06,3.7800000000000004e-05,4.74e-05,0.0358,8.36e-07,2.79e-05,3.29e-05,0.0238,1.88e-06,,CAT EN-RHS RHS100x60x5 20110705
SHS100x100x4,11.9,0.1,0.1,0.004,,0.0015199999999999999,2.32e-06,4.64e-05,5.44e-05,0.0391,2.32e-06,4.64e-05,5.44e-05,0.0391,3.6099999999999997e-06,,CAT EN-SHS SHS100x100x4 20110705
RHS100x50x6.3,13.3,0.1,0.05,0.0063,,0.0016899999999999999,1.9699999999999998e-06,3.94e-05,5.13e-05,0.0342,6.3e-07,2.5200000000000003e-05,3.08e-05,0.0193,1.6e-06,,CAT EN-RHS RHS100x50x6.3 20100728
RHS100x60x6.3,14.2,0.1,0.06,0.0063,,0.00181,2.25e-06,4.5e-05,5.7300000000000004e-05,0.0352,9.81e-07,3.27e-05,3.9500000000000005e-05,0.0233,2.24e-06,,CAT EN-RHS RHS100x60x6.3 20100728
RHS100x50x7.1,14.7,0.1,0.05,0.007100000000000001,,0.00187,2.14e-06,4.27e-05,5.6300000000000006e-05,0.0338,6.75e-07,2.7000000000000002e-05,3.35e-05,0.019,1.73e-06,,CAT EN-RHS RHS100x50x7.1 20110705
SHS100x100x5,14.7,0.1,0.1,0.005,,0.00187,2.79e-06,5.5900000000000004e-05,6.64e-05,0.0386,2.79e-06,5.5900000000000004e-05,6.64e-05,0.0386,4.39e-06,,CAT EN-SHS SHS100x100x5 20110705
RHS100x60x7.1,15.8,0.1,0.06,0.007100000000000001,,0.00202,2.44e-06,4.88e-05,6.29e-05,0.0348,1.06e-06,3.5300000000000004e-05,4.32e-05,0.0229,2.45e-06,,CAT EN-RHS RHS100x60x7.1 20110705
RHS100x50x8,16.3,0.1,0.05,0.008,,0.00208,2.3e-06,4.6e-05,6.14e-05,0.033299999999999996,7.17e-07,2.8700000000000003e-05,3.63e-05,0.018600000000000002,1.86e-06,,CAT EN-RHS RHS100x50x8 20110705
RHS100x60x8,17.5,0.1,0.06,0.008,,0.00224,2.64e-06,5.28e-05,6.87e-05,0.0344,1.13e-06,3.7800000000000004e-05,4.71e-05,0.0225,2.65e-06,,CAT EN-RHS RHS100x60x8 20110705
RHS100x50x8.8,17.6,0.1,0.05,0.0088,,0.00225,2.43e-06,4.85e-05,6.560000000000001e-05,0.0329,7.48e-07,2.9900000000000002e-05,3.85e-05,0.0182,1.9699999999999998e-06,,CAT EN-RHS RHS100x50x8.8 20110705
