nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
CHS1168x10.0,286.0,1.168,,0.01,,,0.0364,0.006098,0.006098,0.409,0.409,0.01044,0.01044,0.01341,0.01341,0.0122,,False,20100728,CAT EN-CHS CHS1168x10.0 20100728
CHS610x20.0,291.0,0.61,,0.02,,,0.0371,0.001615,0.001615,0.209,0.209,0.005295,0.005295,0.006965,0.006965,0.00323,,False,20100728,CAT EN-CHS CHS610x20.0 20100728
CHS762x16.0,294.0,0.762,,0.016,,,0.0375,0.00261,0.00261,0.264,0.264,0.00685,0.00685,0.008906,0.008906,0.00522,,False,20100728,CAT EN-CHS CHS762x16.0 20100728
CHS406x32.0,295.0,0.4064,,0.032,,,0.0376,0.00066432,0.00066432,0.133,0.133,0.003269,0.003269,0.004497,0.004497,0.00132864,,,20110705,CAT EN-CHS CHS406x32.0 20110705
CHS457x28.0,296.0,0.457,,0.028,,,0.0377,0.00087184,0.00087184,0.152,0.152,0.003815,0.003815,0.00516,0.00516,0.00174368,,,20110705,CAT EN-CHS CHS457x28.0 20110705
CHS508x25.0,298.0,0.508,,0.025,,,0.0379,0.00111,0.00111,0.171,0.171,0.004367,0.004367,0.005837,0.005837,0.002218,,False,20100728,CAT EN-CHS CHS508x25.0 20100728
CHS1219x10.0,298.0,1.219,,0.01,,,0.038,0.00694,0.00694,0.427,0.427,0.01139,0.01139,0.01462,0.01462,0.01388,,False,20100728,CAT EN-CHS CHS1219x10.0 20100728
CHS1016x12.5,309.0,1.016,,0.0125,,,0.0394,0.004961,0.004961,0.355,0.355,0.009766,0.009766,0.01259,0.01259,0.0099225,,False,20100728,CAT EN-CHS CHS1016x12.5 20100728
CHS813x16.0,314.0,0.813,,0.016,,,0.0401,0.003182,0.003182,0.282,0.282,0.007828,0.007828,0.01017,0.01017,0.006364,,False,20100728,CAT EN-CHS CHS813x16.0 20100728
CHS914x14.2,315.0,0.914,,0.0142,,,0.0401,0.00406,0.00406,0.318,0.318,0.00889,0.00889,0.0115,0.0115,0.00813,,False,20100728,CAT EN-CHS CHS914x14.2 20100728
CHS457x30.0,316.0,0.457,,0.03,,,0.0402,0.0009217,0.0009217,0.151,0.151,0.004034,0.004034,0.005479,0.005479,0.001843,,False,20100728,CAT EN-CHS CHS457x30.0 20100728
CHS1067x12.5,325.0,1.067,,0.0125,,,0.0414,0.0057567,0.0057567,0.373,0.373,0.01079,0.01079,0.0139,0.0139,0.01151,,False,20100728,CAT EN-CHS CHS1067x12.5 20100728
CHS406x36.0,329.0,0.4064,,0.036,,,0.0419,0.0007252,0.0007252,0.132,0.132,0.003569,0.003569,0.004955,0.004955,0.0014504,,,20110705,CAT EN-CHS CHS406x36.0 20110705
CHS508x28.0,331.0,0.508,,0.028,,,0.0422,0.00122016,0.00122016,0.17,0.17,0.004804,0.004804,0.006459,0.006459,0.00244032,,,20110705,CAT EN-CHS CHS508x28.0 20110705
