nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
RHS250x150x16.0,90.3,0.25,0.15,0.016,,,0.0115,8.879e-05,3.873e-05,0.0879,0.058,0.00071,0.000516,0.000906,0.000625,8.868e-05,,False,20100728,CAT EN-RHS RHS250x150x16.0 20100728
RHS260x140x16,90.3,0.26,0.14,0.016,,,0.0115,9.337e-05,3.4e-05,0.0901,0.0544,0.000718,0.000486,0.000925,0.000588,8.257e-05,,,20110705,CAT EN-RHS RHS260x140x16 20110705
RHS300x100x16,90.3,0.3,0.1,0.016,,,0.0115,0.00010931,1.719e-05,0.0975,0.0387,0.000729,0.000344,0.000986,0.000425,5.138e-05,,,20110705,CAT EN-RHS RHS300x100x16 20110705
RHS300x200x12.5,91.9,0.3,0.2,0.0125,,,0.0117,0.0001427,7.537e-05,0.11,0.0802,0.000952,0.000754,0.001165,0.000877,0.0001568,,False,20100728,CAT EN-RHS RHS300x200x12.5 20100728
RHS350x150x12.5,91.9,0.35,0.15,0.0125,,,0.0117,0.00017297,4.45e-05,0.122,0.0617,0.000988,0.000593,0.001263,0.000686,0.00011619,,,20110705,CAT EN-RHS RHS350x150x12.5 20110705
RHS250x200x14.2,92.3,0.25,0.2,0.0142,,,0.0118,0.00010117,7.1e-05,0.0928,0.0777,0.000809,0.00071,0.00099,0.000846,0.00013327,,,20110705,CAT EN-RHS RHS250x200x14.2 20110705
RHS300x150x14.2,92.3,0.3,0.15,0.0142,,,0.0118,0.0001293,4.233e-05,0.105,0.06,0.000862,0.000564,0.001099,0.000666,0.00010459,,,20110705,CAT EN-RHS RHS300x150x14.2 20110705
RHS400x300x8.8,93.6,0.4,0.3,0.0088,,,0.0119,0.00028063,0.00018037,0.153,0.123,0.001403,0.001202,0.001659,0.001363,0.00033908,,,20110705,CAT EN-RHS RHS400x300x8.8 20110705
RHS450x250x8.8,93.6,0.45,0.25,0.0088,,,0.0119,0.0003284,0.00013229,0.166,0.105,0.00146,0.001058,0.001774,0.001182,0.0002959,,,20110705,CAT EN-RHS RHS450x250x8.8 20110705
RHS500x200x8.8,93.6,0.5,0.2,0.0088,,,0.0119,0.00037167,8.85e-05,0.177,0.0861,0.001487,0.000885,0.001867,0.000979,0.00023048,,,20110705,CAT EN-RHS RHS500x200x8.8 20110705
RHS400x120x12.5,95.8,0.4,0.12,0.0125,,,0.0122,0.00021552,3.013e-05,0.133,0.0497,0.001078,0.000502,0.001426,0.000583,8.98e-05,,,20110705,CAT EN-RHS RHS400x120x12.5 20110705
